template_id,service_category,institution_type,template_text,variable_slots,derived_from_unified_ids,example_original_message,template_status,template_quality_score,notes
service_ham_template_00043,banking,Unknown,"REMINDER: We will have a scheduled system upgrade on <DATE_TIME> (SUN), from <DATE_TIME> to <DATE_TIME>. Our debit cards, online channels, and other services, will be temporarily unavailable. Please plan ahead. Visit our social media pages for updates. For concerns, call at (<PHONE>. Thank you.","[""DATE_TIME""]",manual_ham_final_000023,"REMINDER: We will have a scheduled system upgrade on October 12 (SUN), from 2:00AM to 2:00PM. Our debit cards, online channels, and other services, will be temporarily unavailable. Please plan ahead. Visit our social media pages for updates. For concerns, call at (02)87000700. Thank you.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00044,banking,Unknown,"Race to Monza with your RCBC Visa Credit Card! Earn raffle entries for a minimum spend of <AMOUNT> from <DATE_TIME>-<DATE_TIME> fora chance to win a Race Experience for 2, plus watch party access. For more info and to register, search VCARB on the RCBC Credit website. DTI#247198","[""AMOUNT"", ""DATE_TIME""]",manual_ham_final_000068,"Race to Monza with your RCBC Visa Credit Card! Earn raffle entries for a minimum spend of P1,000 from Apr 1-Jun 30 fora chance to win a Race Experience for 2, plus watch party access. For more info and to register, search VCARB on the RCBC Credit website. DTI#247198",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00045,banking,Unknown,"Ready for a getaway, JOCELYN ANNE? Whether it's a beach trip or a staycation, your RCBC Credit Card earns you more! Enjoy up to <AMOUNT> cashback on hotels, resorts, and stays. Valid until <DATE_TIME>, 2026. Register and see full details on the RCBC Credit website, search LTR5K T&Cs apply. DT1I251514","[""AMOUNT"", ""DATE_TIME""]",manual_ham_final_000087,"Ready for a getaway, JOCELYN ANNE? Whether it's a beach trip or a staycation, your RCBC Credit Card earns you more! Enjoy up to P5,000 cashback on hotels, resorts, and stays. Valid until May 31, 2026. Register and see full details on the RCBC Credit website, search LTR5K T&Cs apply. DT1I251514",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00046,banking,Unknown,"Ready for summer? Refresh your OOTDs at Zara, Bershka, Massimo Dutti, Oysho, Pull & Bear & Stradivarius! Get up to <AMOUNT> CASHBACK on straight or 0% installment spends using your RCBC Visa Credit Card from now until <DATE_TIME>! Visit the RCBC Credit Website & search CBFITS for full T&Cs. D249279S26","[""AMOUNT"", ""DATE_TIME""]",manual_ham_final_000081,"Ready for summer? Refresh your OOTDs at Zara, Bershka, Massimo Dutti, Oysho, Pull & Bear & Stradivarius! Get up to P5,000 CASHBACK on straight or 0% installment spends using your RCBC Visa Credit Card from now until May 31! Visit the RCBC Credit Website & search CBFITS for full T&Cs. D249279S26",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00047,banking,Unknown,"Stay cool this summer! Get up to <AMOUNT> OFF the SRP of select aircon models at 0% installment for up to 24 months, plus Buy Now, Pay Later using your RCBC Credit Card at Western Appliances. Promo valid until <DATE_TIME>, 2026. Visit the RCBC Credit Website & search: WESAPP26 for details. D252780S26","[""AMOUNT"", ""DATE_TIME""]",manual_ham_final_000052,"Stay cool this summer! Get up to PHP20,000 OFF the SRP of select aircon models at 0% installment for up to 24 months, plus Buy Now, Pay Later using your RCBC Credit Card at Western Appliances. Promo valid until May 31, 2026. Visit the RCBC Credit Website & search: WESAPP26 for details. D252780S26",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00048,banking,Unknown,"The new galaxy is here! Get the Samsung Galaxy S26 Series for as low as <AMOUNT>/mo. at 0% inst for 24mos w/ your RCBC Credit Card! Plus, bundle the Galaxy Buds4 to get 10% OFF your Buds. Offers, validity dates and partners vary. Visit the RCBC Credit website & search SAMS26L for details. T&Cs apply. D250155&251419S26","[""AMOUNT""]",manual_ham_final_000060,"The new galaxy is here! Get the Samsung Galaxy S26 Series for as low as P2,430.27/mo. at 0% inst for 24mos w/ your RCBC Credit Card! Plus, bundle the Galaxy Buds4 to get 10% OFF your Buds. Offers, validity dates and partners vary. Visit the RCBC Credit website & search SAMS26L for details. T&Cs apply. D250155&251419S26",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00049,banking,Unknown,"Thursday <DATE_TIME> As of 03/25, you have 6,182 Rewards Points (worth <AMOUNT>) on your Card ending in <ACCT>, JOCELYN ANNE! Redeem these for shopping vouchers or cash credit by calling (<PHONE>. Keep using your Landmark Anson's Credit Card to enjoy unlimited 3% REBATE at Landmark plus rewards points on all purchases. T&Cs apply.","[""AMOUNT"", ""DATE_TIME""]",manual_ham_final_000049,"Thursday 4:47 PM As of 03/25, you have 6,182 Rewards Points (worth Php 1,546) on your Card ending in 0003, JOCELYN ANNE! Redeem these for shopping vouchers or cash credit by calling (02)8888-1888. Keep using your Landmark Anson's Credit Card to enjoy unlimited 3% REBATE at Landmark plus rewards points on all purchases. T&Cs apply.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00050,banking,Unknown,"To improve your experience, we will have a scheduled system upgrade on <DATE_TIME> (SUN), from <DATE_TIME> to <DATE_TIME>. Our debit cards, online channels, and other services, will be temporarily unavailable. Please plan ahead. Visit our social media pages for updates. For concerns, call (<PHONE>. Thank you.","[""DATE_TIME""]",manual_ham_final_000027,"To improve your experience, we will have a scheduled system upgrade on October 12 (SUN), from 2:00AM to 2:00PM. Our debit cards, online channels, and other services, will be temporarily unavailable. Please plan ahead. Visit our social media pages for updates. For concerns, call (02)87000700. Thank you.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00051,banking,Unknown,Travel and spend without worries with your RCBC Premium Credit Card. Convert your spend abroad into Unli 0% for 3 mos. or up to 36 mos. Uni Installment via the RCBC Pulz App. Visit rcbccredit > Credit Cards > Benefits > Installment. T&Cs apply.,[],manual_ham_final_000090,Travel and spend without worries with your RCBC Premium Credit Card. Convert your spend abroad into Unli 0% for 3 mos. or up to 36 mos. Uni Installment via the RCBC Pulz App. Visit rcbccredit > Credit Cards > Benefits > Installment. T&Cs apply.,approved_template_candidate,0.7,medium quality; clear category but few variable slots. Derived from approved manual ham.
service_ham_template_00052,banking,Unknown,"Tuesday <DATE_TIME> Beat the summer heat & kickstart your adventures with up to <AMOUNT>, JOCELYN ANNE! Convert your available limit to RCBC InstaCash on your card ending in <ACCT> & pay only <AMOUNT>/mo. at a low add-on rate of 0.62%/mo. for up to 60 mos. To avail, go to the RCBC Credit website, search Promo ID: RRN, and use code A28YUHYOSQ. Offer exclusive to web applications until <DATE_TIME>, <OTP>. DT1245989S26","[""AMOUNT"", ""DATE_TIME"", ""OTP""]",manual_ham_final_000051,"Tuesday 6:07PM Beat the summer heat & kickstart your adventures with up to P1,132,000, JOCELYN ANNE! Convert your available limit to RCBC InstaCash on your card ending in 3000 & pay only P26,174.26/mo. at a low add-on rate of 0.62%/mo. for up to 60 mos. To avail, go to the RCBC Credit website, search Promo ID: RRN, and use code A28YUHYOSQ. Offer exclusive to web applications until May 10, 2026. DT1245989S26",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00053,banking,Unknown,"Unlock more possibilities this March, JOCELYN ANNE! Get extra cash when you convert your available limit on your card ending in <ACCT> to RCBC InstaCash! Access up to <AMOUNT> and pay as low as <AMOUNT>/mo. at only 0.62% monthly add-on rate for up to 60 mos. To avail, go to the RCBC Credit website, search Promo ID: RRN, and use code AWLU4OQQUT. Offer exclusive to web applications until Mar. 31, <OTP>. DTI245989S26","[""AMOUNT"", ""OTP""]",manual_ham_final_000093,"Unlock more possibilities this March, JOCELYN ANNE! Get extra cash when you convert your available limit on your card ending in 3000 to RCBC InstaCash! Access up to P1,141,000 and pay as low as P26,391.94/mo. at only 0.62% monthly add-on rate for up to 60 mos. To avail, go to the RCBC Credit website, search Promo ID: RRN, and use code AWLU4OQQUT. Offer exclusive to web applications until Mar. 31, 2026. DTI245989S26",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00054,banking,Unknown,"Upgrade to the Samsung Galaxy S26 Series with your RCBC Credit Card! Pre-order for as low as <AMOUNT>/mo. for 24mos at 0% inst + FREEBIES. Also, bundle with Galaxy Buds4 & get 10% OFF the Buds. Offers, validity dates and partners vary. T&Cs apply. Details at RCBC Credit website; search: SAMS26P. D250155&251419S26","[""AMOUNT""]",manual_ham_final_000092,"Upgrade to the Samsung Galaxy S26 Series with your RCBC Credit Card! Pre-order for as low as P2,264.97/mo. for 24mos at 0% inst + FREEBIES. Also, bundle with Galaxy Buds4 & get 10% OFF the Buds. Offers, validity dates and partners vary. T&Cs apply. Details at RCBC Credit website; search: SAMS26P. D250155&251419S26",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00055,banking,Unknown,"We'd like to remind you that the due date for your card ending in <ACCT> is on 04/06. Your minimum amount due Is <AMOUNT>. Your total statement balance is <AMOUNT>. If you have already paid prior to receiving this message, thank you for your payment.","[""AMOUNT""]",manual_ham_final_000066,"We'd like to remind you that the due date for your card ending in 4017 is on 04/06. Your minimum amount due Is Php601.00. Your total statement balance is Php20,017.04. If you have already paid prior to receiving this message, thank you for your payment.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00056,banking,Unknown,"We'd like to remind you that the due date for your card ending in <ACCT> is on 04/13. Your minimum amount due is <AMOUNT>. Your total statement balance is <AMOUNT>. If you have already paid prior to receiving this message, thank you for your payment.","[""AMOUNT""]",manual_ham_final_000063,"We'd like to remind you that the due date for your card ending in 3000 is on 04/13. Your minimum amount due is Php1,305.00. Your total statement balance is Php43,500.10. If you have already paid prior to receiving this message, thank you for your payment.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00057,banking,Unknown,"We'd like to remind you that the payment for your card ending in <ACCT> is due on 03/16. Your minimum amount due Is <AMOUNT>. Your statement balance is <AMOUNT>. If you have already paid prior to receiving this message, thank you for your payment.","[""AMOUNT""]",manual_ham_final_000088,"We'd like to remind you that the payment for your card ending in 3000 is due on 03/16. Your minimum amount due Is Php1,013.00. Your statement balance is Php33,760.80. If you have already paid prior to receiving this message, thank you for your payment.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00058,banking,Unknown,"We'd like to remind you that the payment for your card ending in <ACCT> is due on 04/06. Your minimum amount due is <AMOUNT>. Your statement balance is <AMOUNT>. If you have already paid prior to receiving this message, thank you for your payment.","[""AMOUNT""]",manual_ham_final_000065,"We'd like to remind you that the payment for your card ending in 4017 is due on 04/06. Your minimum amount due is Php601.00. Your statement balance is Php20,017.04. If you have already paid prior to receiving this message, thank you for your payment.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00059,banking,Unknown,"Win VIP tickets for two to see Laufey in Manila, thanks to Visa! Earn 1 entry per <AMOUNT> spend, OR be one of the 10 Top Spenders to win automatically! Valid on RCBC Visa Credit Card spend from <DATE_TIME>—<DATE_TIME>. Register at the RCBC Credit website. Search: LAUFEYRP / LAUFEYTS. T&C apply. DT252226S26","[""AMOUNT"", ""DATE_TIME""]",manual_ham_final_000084,"Win VIP tickets for two to see Laufey in Manila, thanks to Visa! Earn 1 entry per P1,000 spend, OR be one of the 10 Top Spenders to win automatically! Valid on RCBC Visa Credit Card spend from Mar 16—May 10. Register at the RCBC Credit website. Search: LAUFEYRP / LAUFEYTS. T&C apply. DT252226S26",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00060,banking,Unknown,"Your Apr-2026 Statement Balance for Card ending in <ACCT> is Php -2.96. Min. Amt Due is <AMOUNT>. To view your statement & do more with your RCBC Credit Card, download and register to the RCBC Pulz app.","[""AMOUNT""]",manual_ham_final_000061,"Your Apr-2026 Statement Balance for Card ending in 4017 is Php -2.96. Min. Amt Due is Php 0.00. To view your statement & do more with your RCBC Credit Card, download and register to the RCBC Pulz app.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00061,banking,Unknown,"Your Apr-2026 Statement Balance for your Card ending in <ACCT> is <AMOUNT>. Min. Amt Due is <AMOUNT>. Due on 05/14. Pay conveniently online using your bank's digital banking website/app or e- wallets. To view your statement & do more with your RCBC Credit Card, download and register to the RCBC Pulz app.","[""AMOUNT""]",manual_ham_final_000053,"Your Apr-2026 Statement Balance for your Card ending in 3000 is Php 53,529.43. Min. Amt Due is Php 1,606.00. Due on 05/14. Pay conveniently online using your bank's digital banking website/app or e- wallets. To view your statement & do more with your RCBC Credit Card, download and register to the RCBC Pulz app.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00062,banking,Unknown,"Your MCC card <ACCT> was used at CHECKOUT CARDS for <AMOUNT>. If you did not make this, call <ACCT> to avoid further unauthorized transactions.","[""AMOUNT""]",manual_ham_final_000106;manual_ham_final_000107,"Your MCC card 3166 was used at CHECKOUT CARDS for PHP 57330.00. If you did not make this, call 88700700 to avoid further unauthorized transactions.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00063,banking,Unknown,"Your MCC card <ACCT> was used at GPTZERO, INC. for USD 23.99. If you did not make this, call <ACCT> to avoid further unauthorized transactions.",[],manual_ham_final_000117;manual_ham_final_000123,"Your MCC card 3166 was used at GPTZERO, INC. for USD 23.99. If you did not make this, call 88700700 to avoid further unauthorized transactions.",approved_template_candidate,0.7,medium quality; clear category but few variable slots. Derived from approved manual ham.
service_ham_template_00064,banking,Unknown,"Your MCC card <ACCT> was used at WALTER AI for USD 23.00. If you did not make this, call <ACCT> to avoid further unauthorized transactions.",[],manual_ham_final_000125,"Your MCC card 3166 was used at WALTER AI for USD 23.00. If you did not make this, call 88700700 to avoid further unauthorized transactions.",approved_template_candidate,0.7,medium quality; clear category but few variable slots. Derived from approved manual ham.
service_ham_template_00065,banking,Unknown,"Your Mar-2026 Statement Balance for your Card ending in <ACCT> is <AMOUNT>. Min. Amt Due is <AMOUNT>. Due on 04/13. Pay conveniently online using your bank's digital banking website/app or e- wallets. To view your statement & do more with your RCBC Credit Card, download and register to the RCBC Pulz app.","[""AMOUNT""]",manual_ham_final_000083,"Your Mar-2026 Statement Balance for your Card ending in 3000 is Php 43,500.10. Min. Amt Due is Php 1,305.00. Due on 04/13. Pay conveniently online using your bank's digital banking website/app or e- wallets. To view your statement & do more with your RCBC Credit Card, download and register to the RCBC Pulz app.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00066,banking,Unknown,Your P5k SM Gift Pass is waiting! Refer friends to apply for a credit card using your code ACO135 until 03/31/26. T&Cs apply DTI245534S2025 CCPD26-041,[],manual_ham_final_000115,Your P5k SM Gift Pass is waiting! Refer friends to apply for a credit card using your code ACO135 until 03/31/26. T&Cs apply DTI245534S2025 CCPD26-041,approved_template_candidate,0.7,medium quality; clear category but few variable slots. Derived from approved manual ham.
service_ham_template_00067,banking,Unknown,"Your RCBC InstaCash of up to <AMOUNT> is now ready, JOCELYN ANNE! Convert the credit limit of your card ending in <ACCT> for only 0.62% monthly add-on rate and pay just <AMOUNT>/mo. for up to 60 mos. Avail at the RCBC Credit website now: Search Promo ID: RRN & use code A28YUHYOSQ. Web-exclusive offer until <DATE_TIME>, <OTP>. DTI245989S26","[""AMOUNT"", ""DATE_TIME"", ""OTP""]",manual_ham_final_000057,"Your RCBC InstaCash of up to P1,132,000 is now ready, JOCELYN ANNE! Convert the credit limit of your card ending in 3000 for only 0.62% monthly add-on rate and pay just P26,174.26/mo. for up to 60 mos. Avail at the RCBC Credit website now: Search Promo ID: RRN & use code A28YUHYOSQ. Web-exclusive offer until May 10, 2026. DTI245989S26",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00068,banking,Unknown,"Your supplementary, BOBBY A BARCE with Card ending in <REF_NUM> has spent <AMOUNT> at Pru Life of U.K. on 03/16 <DATE_TIME>. If you have concerns, call <PHONE>","[""AMOUNT"", ""DATE_TIME"", ""REF_NUM""]",manual_ham_final_000089,"Your supplementary, BOBBY A BARCE with Card ending in XXXx3109 has spent PHP10000.00 at Pru Life of U.K. on 03/16 5:30AM. If you have concerns, call 0288881883",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00069,banking,Unknown,the RCBC Credit website.,[],manual_ham_final_000078,the RCBC Credit website.,approved_template_candidate,0.7,medium quality; clear category but few variable slots. Derived from approved manual ham.
service_ham_template_00070,delivery,Lazada,Get extra 10% OFF (up to <AMOUNT>) at the <BRAND> Birthday,"[""AMOUNT"", ""BRAND""]",manual_ham_final_000071,Get extra 10% OFF (up to P600) at the Lazada Birthday,approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00071,delivery,Lazada,vouchers bundles on <BRAND>! Visit <BRAND> PH's official,"[""BRAND""]",manual_ham_final_000161,vouchers bundles on Lazada! Visit Grab PH's official,approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00072,delivery,Unknown,"<BRAND> DELIVERY! TN: <PHONE>, Rider: THRIX PUAL A TAN. Your COD amount is 308.79. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing <BRAND> Philippines! Stay safe and have a great day ahead.","[""BRAND""]",manual_ham_final_000044,"J&T DELIVERY! TN: 820140287017, Rider: THRIX PUAL A TAN. Your COD amount is 308.79. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing J&T Express Philippines! Stay safe and have a great day ahead.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00073,delivery,Unknown,"<BRAND> DELIVERY! TN: JT<ACCT> Rider: THRIX PUAL A TAN, | have try calling your number but no one answers, kindly call me back when you are available. For further concern, you may call (<PHONE>. Thanks and be Safe!","[""BRAND""]",manual_ham_final_000042,"J&T DELIVERY! TN: JT0016817423022 Rider: THRIX PUAL A TAN, | have try calling your number but no one answers, kindly call me back when you are available. For further concern, you may call (02)8911-1888. Thanks and be Safe!",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00074,delivery,Unknown,"<BRAND> DELIVERY! TN: JT<ACCT>, Rider: THRIX PUAL A TAN. Your COD amount is 669.00. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing <BRAND> Philippines! Stay safe and have a great day ahead.","[""BRAND""]",manual_ham_final_000045,"J&T DELIVERY! TN: JT0013829748551, Rider: THRIX PUAL A TAN. Your COD amount is 669.00. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing J&T Express Philippines! Stay safe and have a great day ahead.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00075,delivery,Unknown,"<BRAND> DELIVERY! TN: JT<ACCT>, Rider: THRIX PUAL A TAN. Your COD amount is 879.00. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing <BRAND> Philippines! Stay safe and have a great day ahead.","[""BRAND""]",manual_ham_final_000046,"J&T DELIVERY! TN: JT0013624686688, Rider: THRIX PUAL A TAN. Your COD amount is 879.00. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing J&T Express Philippines! Stay safe and have a great day ahead.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00076,delivery,Unknown,"<BRAND> DELIVERY! TN: JT<ACCT>, Rider: THRIX PUAL A TAN. Your COD amount ts 835.00. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing <BRAND> Philippines! Stay safe and have a great day ahead.","[""BRAND""]",manual_ham_final_000041,"J&T DELIVERY! TN: JT0016817423022, Rider: THRIX PUAL A TAN. Your COD amount ts 835.00. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing J&T Express Philippines! Stay safe and have a great day ahead.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00077,delivery,Unknown,Hi Ka-<BRAND>! We will deliver your shipment <DATE_TIME>. Provide authorization & ID if not around. Photo may be taken as proof of delivery. Thanks,"[""BRAND"", ""DATE_TIME""]",manual_ham_final_000198,Hi Ka-LBC! We will deliver your shipment 174260568789 today. Provide authorization & ID if not around. Photo may be taken as proof of delivery. Thanks,approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00078,delivery,Unknown,Hi Ka-<BRAND>! Your shipment <PHONE> was received by ZABALA RALF CEDRIC TRIPOLI on 10-02-2026. Thanks,"[""BRAND""]",manual_ham_final_000199,Hi Ka-LBC! Your shipment 174260568789 was received by ZABALA RALF CEDRIC TRIPOLI on 10-02-2026. Thanks,approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00079,delivery,Unknown,"Wednesday <BRAND>DELIVERY! TN: JT<ACCT>, Rider: THRIX PUAL A TAN. Your COD amount is 999.00. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing <BRAND> Philippines! Stay safe and have a great day ahead.","[""BRAND"", ""DATE_TIME""]",manual_ham_final_000043,"Wednesday 1:05PM J&T DELIVERY! TN: JT0016681548778, Rider: THRIX PUAL A TAN. Your COD amount is 999.00. You can pay by cash or conveniently online when the rider arrives. Please note that a photo proof of delivery is required. Thank you for choosing J&T Express Philippines! Stay safe and have a great day ahead.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00080,ewallet,Maya,<DATE_TIME> at <DATE_TIME> Easy 10% cashback with <BRAND>! Just use <BRAND> in stores or when shopping online in the next 7 days. Check your <BRAND> Messages now to know more!,"[""BRAND"", ""DATE_TIME""]",manual_ham_final_000039,27 Jan 2024 at 11:59AM Easy 10% cashback with Maya! Just use Maya in stores or when shopping online in the next 7 days. Check your Maya Messages now to know more!,approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00081,ewallet,Maya,"MayaRewards ) Nice! You received a <AMOUNT> voucher from <BRAND>. Use It for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!","[""AMOUNT"", ""BRAND""]",manual_ham_final_000035,"MayaRewards ) Nice! You received a P20 voucher from Maya. Use It for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00082,ewallet,Maya,"Nice! You received a <AMOUNT> voucher from <BRAND>. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!","[""AMOUNT"", ""BRAND""]",manual_ham_final_000036,"Nice! You received a P20 voucher from Maya. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00083,ewallet,Maya,"Nice! You received a <AMOUNT> voucher from <BRAND>. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires! Nice! You received a <AMOUNT> voucher from <BRAND>. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!","[""AMOUNT"", ""BRAND""]",manual_ham_final_000037,"Nice! You received a P20 voucher from Maya. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires! Nice! You received a P20 voucher from Maya. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00084,otp_verification,BPI,"<BRAND>] #MagingListoHuwagMagpaloko: Your One-Time PIN is <OTP>. Enter this code to confirm your login to <BRAND> on your browser. If you did not make this login request, change your password or call the hotline immediately.","[""BRAND""]",manual_ham_final_000310,"BPI] #MagingListoHuwagMagpaloko: Your One-Time PIN is 510833. Enter this code to confirm your login to BPI on your browser. If you did not make this login request, change your password or call the hotline immediately.",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00085,otp_verification,BPI,<BRAND>] DO NOT SHARE: Use your SECRET one-time PIN <OTP> to activate <BRAND> Mobile Key on your SM-S918B.,"[""BRAND""]",manual_ham_final_000311,BPI] DO NOT SHARE: Use your SECRET one-time PIN 596966 to activate BPI Mobile Key on your SM-S918B.,approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00086,otp_verification,BPI,<BRAND>] DO NOT SHARE: Use your SECRET one-time PIN <OTP> to activate <BRAND> Mobile Key on your SM-S938B.,"[""BRAND""]",manual_ham_final_000312;manual_ham_final_000314,BPI] DO NOT SHARE: Use your SECRET one-time PIN 257236 to activate BPI Mobile Key on your SM-S938B.,approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00087,otp_verification,BPI,<BRAND>] DO NOT SHARE: Use your SECRET one-time PIN password <OTP> to reset your password in <BRAND> online.,"[""BRAND""]",manual_ham_final_000313,BPI] DO NOT SHARE: Use your SECRET one-time PIN password 166728 to reset your password in BPI online.,approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00088,otp_verification,BPI,"Got a call from an unknown number about your bank account? Stay cautious. Scammers may pretend to be legitimate and ask for sensitive details. If the call feels urgent or suspicious, end it and verify through official channels. Remember: <BRAND> will never ask for your OTP, PIN, passwords, or personal information through messages or calls. <BRAND> will not instruct you to transfer funds for any account issue. If someone claims there is ""unusual activity"" and asks for your details or money, stop immediately. When in doubt, contact the <BRAND> 24/7 Contact Center: (<PHONE>","[""BRAND""]",manual_ham_final_000019,"Got a call from an unknown number about your bank account? Stay cautious. Scammers may pretend to be legitimate and ask for sensitive details. If the call feels urgent or suspicious, end it and verify through official channels. Remember: BPI will never ask for your OTP, PIN, passwords, or personal information through messages or calls. BPI will not instruct you to transfer funds for any account issue. If someone claims there is ""unusual activity"" and asks for your details or money, stop immediately. When in doubt, contact the BPI 24/7 Contact Center: (+632) 889-10000",approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
service_ham_template_00089,otp_verification,Google,G-<OTP> is your Google verification code. Don't share your code with anyone.,"[""OTP""]",manual_ham_final_000135,G-304679 is your Google verification code. Don't share your code with anyone.,approved_template_candidate,0.92,high quality; clear service-like template. Derived from approved manual ham.
